(0.057223, -0.024722)
(-7.198789897083854, -2.372239418459598)
(-14.184475150488808, -4.5722692489708665)
(-20.92462643291724, -6.631937033300537)
(-27.44403741707153, -8.558368313215349)
(-33.76750177565405, -10.358688630482028)
(-39.91981318136718, -12.04002352686731)
(-45.925765306913306, -13.609498544137933)
(-51.81015182499478, -15.074239224060625)
(-57.597766408313994, -16.44137110840212)
(-63.31340272957333, -17.718019738929154)
(-68.98185446147517, -18.91131065740846)
(-74.62791527672186, -20.028369405606767)
(-80.27637884801582, -21.076321525290812)
(-85.95102651465194, -22.06287567459047)
(-91.66312990282579, -23.00294625862824)
(-97.41552329825772, -23.91630769332564)
(-103.21088293916753, -24.822825431888003)
(-109.05188506377495, -25.74236492752066)
(-114.9412059102998, -26.694791633428952)
(-120.8815217169618, -27.699971002818202)
(-126.86548393205004, -28.771064784692225)
(-132.84252057886258, -29.892330675429243)
(-138.75041284835604, -31.040237986868668)
(-144.52694176248923, -32.191255917838866)
(-150.1098883432209, -33.321853667168185)
(-155.4370336125097, -34.40850043368496)
(-160.44685360224253, -35.42781078264411)
(-165.13159751985268, -36.367646333562575)
(-169.57466383778504, -37.23493324360297)
(-173.86828022868227, -38.03844436193938)
(-178.10467436518687, -38.786952537745876)
(-182.37607391994126, -39.48923062019653)
(-186.77470656558808, -40.15405145846539)
(-191.38809928856244, -40.79106493921168)
(-196.23996255934895, -41.42182760999299)
(-201.30801533457978, -42.07647695312155)
(-206.56896122266636, -42.78533989100644)
(-211.99950383202, -43.57874334605667)
(-217.57634677105207, -44.4870142406813)
(-223.27619364817406, -45.54047949728939)
(-229.07140133832823, -46.75869661429776)
(-234.9141215986271, -48.11116308937331)
(-240.75063977537656, -49.55284185860023)
(-246.5272405811554, -51.03869428794693)
(-252.1902087285425, -52.52368174338182)
(-257.6858289301167, -53.962765590873325)
(-262.96095059365575, -55.31121692342575)
(-268.01644337155415, -56.553936146063144)
(-272.9511619276733, -57.72956700574729)
