(-4.835153, -1.055185)
(-4.786090265707329, 1.181936785277164)
(-5.971474363774988, 2.0752775917792348)
(-8.239082224504559, 1.8719030957283067)
(-11.436690778197628, 0.8188789733464743)
(-15.412076955155774, -0.8367290991441679)
(-20.013017685680577, -2.8478554455215237)
(-25.087289900073625, -4.967434389563501)
(-30.482670528636486, -6.948400255048004)
(-36.04693650167076, -8.543687365752938)
(-41.63254888879356, -9.522737151915369)
(-47.16481987306157, -9.911721470475749)
(-52.626589905678514, -9.939544245622285)
(-58.00226533867682, -9.840627702759658)
(-63.27625252408889, -9.84939406729255)
(-68.44232191038883, -10.168555718846777)
(-73.54719600801148, -10.821512304752641)
(-78.65619034017439, -11.768701544131861)
(-83.83464069748153, -12.970492524209396)
(-89.14780270198058, -14.387297347913693)
(-94.63886250655472, -15.991369839975055)
(-100.29900496916206, -17.782865940179235)
(-106.11192995602035, -19.76595777869785)
(-112.06133733334724, -21.94481748570249)
(-118.12775345133286, -24.32048741377171)
(-124.20968697657263, -26.813122626395426)
(-130.11827658418457, -29.25671235734798)
(-135.66041563043976, -31.481059031927703)
(-140.6429974716092, -33.31596507543294)
(-144.91272196282483, -34.61803578796586)
(-148.63958593625824, -35.46156173831622)
(-152.15071550190686, -36.02663321346305)
(-155.77428112889442, -36.49404369779558)
(-159.83842871676197, -37.044577783837276)
(-164.5682284838327, -37.82171641355895)
(-169.85029458838358, -38.84645143701179)
(-175.50187759545085, -40.11467164198477)
(-181.3402280700709, -41.62226581626698)
(-187.18415511900352, -43.36408018067321)
(-192.9296310443009, -45.28334360255515)
(-198.58367248762596, -47.249003228477)
(-204.16191358252024, -49.124241641695555)
(-209.6799884625251, -50.77224142546764)
(-215.1522052044649, -52.06654908104927)
(-220.57686692754385, -53.00579932514055)
(-225.9416639578125, -53.671572133532536)
(-231.23409638777554, -54.14693426975522)
(-236.44166430993778, -54.514952497338584)
(-241.55627065225568, -54.85223729758131)
(-246.5901893988574, -55.20552720007449)
(-251.56158202855258, -55.61292735991342)
(-256.48861060165007, -56.11254207948741)
(-261.38947870857567, -56.742218406408355)
(-266.2875837401477, -57.50763083329679)
(-271.2165022290894, -58.35140002360666)
(-276.2109931706924, -59.20882197693465)
(-281.30581556024873, -60.01519269287743)
(-286.5334429753098, -60.70959428259531)
(-291.8828338728939, -61.303197691659165)
(-297.3039343401962, -61.871803268792)
(-302.7453089663566, -62.493500005912686)
(-308.1555223405155, -63.24637689494009)
(-313.4877122592762, -64.192602956738)
(-318.72507054856334, -65.28972495728648)
(-323.8629218903849, -66.45305350354448)
(-328.89662473940905, -67.59778163514426)
(-333.82156216583036, -68.63918056944382)
(-338.64849427899117, -69.54135826014736)
(-343.42979376395925, -70.40058219894011)
(-348.2248034864381, -71.33525683578154)
