(0.057223, -0.024722)
(-5.275152808450003, -1.9855552722886067)
(-10.794587353099843, -3.7960744319251307)
(-16.466718979101625, -5.465267716492711)
(-22.25718603160746, -7.0021233635744915)
(-28.131626855769458, -8.415629610753609)
(-34.05567979673972, -9.714774695613203)
(-39.994983199670365, -10.908546855736418)
(-45.91517540971349, -12.005934328706392)
(-51.78189477202121, -13.015925352106265)
(-57.56077963174563, -13.947508163519178)
(-63.21746833403886, -14.809671000528272)
(-68.71759922405299, -15.611402100716685)
(-74.02681064694018, -16.361689701667558)
(-79.116242844218, -17.070662507495634)
(-84.051543761466, -17.768039353844927)
(-88.97789594302786, -18.50002549158225)
(-94.04296125076868, -19.313340099585158)
(-99.39440154655355, -20.25470235673118)
(-105.1798786922476, -21.370831441897884)
(-111.54705454971587, -22.7084465339628)
(-118.59457873618636, -24.298492292807634)
(-126.11092287838719, -26.072083047353797)
(-133.76357675149114, -27.921395295177913)
(-141.2197547477439, -29.738516902265637)
(-148.1466712593909, -31.415535734602653)
(-154.21154067867766, -32.84453965817461)
(-159.08187249594982, -33.917706227785004)
(-162.60983018120427, -34.583334664678915)
(-165.14739853598968, -34.941634298417185)
(-167.13030483610476, -35.118266210078446)
(-168.9942763573483, -35.23889148074133)
(-171.17504037551902, -35.42917119148447)
(-174.1083241664156, -35.81476642338649)
(-178.22088817550411, -36.5188262984648)
(-183.62009330757775, -37.57502366444862)
(-190.01452578338035, -38.90531901990723)
(-197.08768440419303, -40.42464489830918)
(-204.5230679712967, -42.04793383312297)
(-212.0041752859723, -43.690118357817106)
(-219.21450514950087, -45.266131005860125)
(-225.86017697316052, -46.696861051969215)
(-231.88238445119697, -47.965100463938086)
(-237.36171001880643, -49.090346791899975)
(-242.38056530231964, -50.09257927141944)
(-247.0213619280674, -50.99177713806105)
(-251.3665115223805, -51.80791962738939)
(-255.4984257115898, -52.56098597496902)
(-259.50149199231447, -53.27303998061185)
(-263.468461710774, -53.974969394744726)
(-267.49429889337415, -54.69999636901193)
(-271.6739675805726, -55.48134306988313)
(-276.10243181282743, -56.35223166382801)
(-280.87465563059664, -57.34588431731621)
(-286.0849897875033, -58.49531525252376)
(-291.7630173432966, -59.811578213120086)
(-297.81731521640194, -61.26469795738465)
(-304.1432024674633, -62.82020396387577)
(-310.6359981571249, -64.44362571115182)
(-317.19102134603054, -66.10049267777119)
(-323.7035910948242, -67.7563343422922)
(-330.07107621036505, -69.37746422064475)
(-336.22898562126124, -70.94478460105937)
(-342.1465497708233, -72.45209640651314)
(-347.79416092497405, -73.89364496248528)
(-353.14221134963566, -75.263675594455)
(-358.1610933107308, -76.55643362790147)
(-362.82119907418183, -77.76616438830392)
(-367.1083662297038, -78.89014117092425)
(-371.1121343785863, -79.94596747333502)
(-374.9647273652238, -80.95961480144943)
(-378.7985012142447, -81.95708057438007)
(-382.74581195027764, -82.96436221123948)
(-386.93901559795086, -84.00745713114019)
(-391.5104139892626, -85.11235287797672)
(-396.54099781823237, -86.29568685574564)
(-401.9650593319931, -87.54736443607698)
(-407.69084243756384, -88.85254434818013)
(-413.626591041964, -90.19638532126476)
(-419.68054905221265, -91.56404608454027)
(-425.76096037532915, -92.94068536721622)
(-431.7764787688379, -94.31126044601416)
(-437.6520519929665, -95.65271965941842)
(-443.334005576664, -96.9315036006738)
(-448.770115214235, -98.11334006795708)
(-453.9081565999837, -99.16395685944495)
(-458.69590542821476, -100.0490817733142)
(-463.0811373932325, -100.73444260774151)
(-467.02639981942957, -101.19176809111705)
(-470.6583518410005, -101.45945688006022)
(-474.2060269286837, -101.61749689693626)
(-477.9000140448714, -101.74650797790805)
(-481.9709021519562, -101.92710995913842)
(-486.6492802123307, -102.23992267679027)
(-492.16573718838737, -102.76556596702638)
(-498.6587429788246, -103.55445849297392)
(-505.8540855214755, -104.52172141462633)
(-513.3620363885816, -105.54460392926082)
(-520.79286159681, -106.50035341276316)
(-527.7568271628278, -107.26621724101922)
(-533.8641991033023, -107.71944278991478)
(-538.7271545144717, -107.73762037992076)
(-542.2003070720962, -107.24184574771925)
(-544.6152635609832, -106.2388113818523)
(-546.3593017229609, -104.74519996359948)
(-547.819699299858, -102.77769417424042)
(-549.3837340335024, -100.35297669505475)
(-551.4386836657226, -97.48773020732212)
(-554.3557448845673, -94.20154221525246)
(-558.1811286760345, -90.5727044555212)
(-562.6591951527621, -86.73403390615383)
(-567.5228582509432, -82.82041514076094)
(-572.505031906771, -78.96673273295328)
(-577.3386300564391, -75.30787125634154)
(-581.7565666361409, -71.9787152845363)
(-585.5243936147357, -69.087253070303)
(-588.640299511528, -66.54976194543652)
(-591.2034764055522, -64.19928431832845)
(-593.3135268809884, -61.86852430865564)
(-595.0700535220174, -59.39018603609494)
(-596.5726589128195, -56.59697362032311)
