(0.057223, -0.024722)
(-10.394795476153547, -2.1579139412251838)
(-19.27646087756032, -4.0517961884851)
(-26.79312700919842, -5.738018122975093)
(-33.150147676045975, -7.248229125890506)
(-38.55287668308107, -8.614078578426675)
(-43.20666783528182, -9.867215861778943)
(-47.316874937626324, -11.039290357142658)
(-51.08885179509269, -12.161951445713155)
(-54.72795221265903, -13.266848508685777)
(-58.43952999530344, -14.38563092725587)
(-62.42893894800403, -15.54994808261877)
(-66.9015328757389, -16.791449355969817)
(-72.0626655834862, -18.141784128504355)
(-78.08382938118832, -19.62651781947111)
(-84.82438045147033, -21.21513373128469)
(-91.97526449447909, -22.84685652108339)
(-99.2257886385712, -24.4606164405633)
(-106.26526001210318, -25.99534374142052)
(-112.78298574343162, -27.389968675351163)
(-118.468377821167, -28.58344541068745)
(-123.15239035067732, -29.54701118943706)
(-127.0873158707875, -30.348002563136134)
(-130.6034936956458, -31.07155707327074)
(-134.03126313940035, -31.802812261326963)
(-137.70096351619952, -32.62690566879088)
(-141.9429341401915, -33.628974837148576)
(-147.0772915657065, -34.89109920009542)
(-153.14653536365142, -36.41230990740429)
(-159.88966274878968, -38.1008462936884)
(-167.03025820055112, -39.860337020236145)
(-174.29190619836575, -41.594410748335875)
(-181.39819122166344, -43.20669613927598)
(-188.07269774987418, -44.60082185434481)
(-194.09161895504494, -45.69854028609904)
(-199.58203148814246, -46.542483430105214)
(-204.81457417334045, -47.224740550644654)
(-210.06031619729788, -47.83754917217472)
(-215.59032674667353, -48.473146819152745)
(-221.67567500812623, -49.22377101603607)
(-228.5864544741117, -50.18140049049165)
(-236.38260131740867, -51.3822710543975)
(-244.6535268734782, -52.73781474680285)
(-252.92472304377577, -54.142509376314145)
(-260.7216817297568, -55.49083275153779)
(-267.5698948328766, -56.6772626810802)
(-272.9948542545909, -57.596276973547816)
(-276.5559551746346, -58.14983718384864)
(-278.3969575164369, -58.36889644857003)
(-279.1544609842271, -58.39319643667733)
(-279.48049690639476, -58.365885165020124)
(-280.02709661132945, -58.43011065044799)
(-281.44629142742065, -58.72902090981052)
(-284.390112683058, -59.4057639599573)
(-289.3452785291703, -60.56695511922516)
(-295.9863795108665, -62.13973694138977)
(-303.739026208851, -63.996229687902385)
(-312.02876400920866, -66.00853921280043)
(-320.28113829802487, -68.04877137012133)
(-327.92169446138473, -69.98903201390253)
(-334.38034651573565, -71.7023191707865)
(-339.4301627887024, -73.13171069801506)
(-343.42881439771423, -74.33967349485262)
(-346.7909701059981, -75.40031466216381)
(-349.93129867678095, -76.38774130081316)
(-353.2644688732897, -77.37606051166526)
(-357.205149458751, -78.43937939558461)
(-362.13684443285615, -79.64574861566516)
(-368.07803175461106, -80.99228110760431)
(-374.8103831700926, -82.43006981754743)
(-382.1115645836846, -83.90942921209499)
(-389.7592418997704, -85.38067375784745)
(-397.5310810227341, -86.79411792140529)
(-405.20474897659983, -88.10007655732025)
(-412.59888084629915, -89.26305980097436)
(-419.6814211536332, -90.29931295265705)
(-426.4543193917483, -91.23686390883564)
(-432.9195250537904, -92.10374056597757)
(-439.07898763290586, -92.92797082055021)
(-444.9346566222408, -93.73758256902097)
(-450.48856268972975, -94.5601524467843)
(-455.7459389936875, -95.40545403393867)
(-460.71620613158825, -96.25998239853722)
(-465.4090673167108, -97.10866151107916)
(-469.83422576233426, -97.93641534206382)
(-474.0013846817374, -98.72816786199043)
(-477.92024728819945, -99.46884304135824)
(-481.5993393575835, -100.1446146688638)
(-485.03740277380524, -100.75204187176598)
(-488.2283319605711, -101.29282922615971)
(-491.16598662210185, -101.76871816194208)
(-493.844226462618, -102.18145010901006)
(-496.2569111863401, -102.53276649726068)
