(-6.304742, 3.3077)
(-5.5036707360324755, 7.0693888973725905)
(-6.311656441551555, 9.53034821309479)
(-8.419152213520004, 11.029147229284032)
(-11.516611148900589, 11.904355228057755)
(-15.294486344656072, 12.49454149153339)
(-19.44323089774922, 13.138275301828372)
(-23.653297905142797, 14.17412594106014)
(-27.615553383389646, 15.940286707213618)
(-31.191370732084994, 18.619695318154392)
(-34.67479374300268, 22.00132125682741)
(-38.42746945699285, 25.812577835025266)
(-42.809404046339296, 29.781444498876034)
(-47.94097674295596, 33.71857705349255)
(-53.453258475907646, 37.603453010087044)
(-58.917613431272066, 41.43614996811471)
(-63.90805694428071, 45.21646234743502)
(-68.18941154255333, 48.92380370645068)
(-71.84210629848072, 52.503876435849385)
(-74.97618026946694, 55.89922016817149)
(-77.7026094631106, 59.05417419680069)
(-80.171909261508, 61.98902364923002)
(-82.5878368172403, 64.82631856534206)
(-85.15790299562659, 67.69581898387527)
(-88.08422694909704, 70.72399342110036)
(-91.4208681205361, 73.9469231878551)
(-95.0590874070815, 77.30130465329567)
(-98.88179790147129, 80.71873803507617)
(-102.77601055812718, 84.13041421988645)
(-106.70708098554356, 87.45969833179169)
(-110.71077560142595, 90.622922235401)
(-114.82536624343754, 93.53616753163804)
(-119.08993031270458, 96.13062764050495)
(-123.5547717980691, 98.54809908183354)
(-128.27843257087446, 101.08491541152985)
(-133.31964431325255, 104.04097090594786)
(-138.70789978388046, 107.67679667594166)
(-144.16599122078867, 111.84002547884769)
(-149.23354312082702, 116.13169884160098)
(-153.44772464166516, 120.14955276852874)
(-156.42944766564662, 123.55133541645507)
(-158.47575325476834, 126.47932619665018)
(-160.2106592036588, 129.31012430897542)
(-162.26031394822152, 132.42185582466635)
(-165.1618586256714, 136.11622249083777)
(-168.89079886200003, 140.21268903606762)
(-173.2041711167251, 144.34313603982469)
(-177.8585226987306, 148.1390240822389)
(-182.62242775421228, 151.32632172347107)
(-187.32433685459205, 154.10151191187424)
(-191.8112981012758, 156.8072186756866)
(-195.93036540378736, 159.7861116306328)
(-199.58840457554942, 163.2762938206921)
(-202.9282888033072, 167.1032667786694)
(-206.15109399784745, 170.99077872536097)
(-209.4578707346916, 174.66261375975745)
