(0.057223, -0.024722)
(-4.362886196708179, 0.09702525347389515)
(-9.445233870462056, -0.11669235683284765)
(-15.090645121429525, -0.6306752483341783)
(-21.19994504977849, -1.409723838444047)
(-27.673958755676843, -2.418638544576403)
(-34.41351133929249, -3.622219784145197)
(-41.31942790079332, -4.985267974564381)
(-48.292533540347236, -6.472583533247901)
(-55.23365335812214, -8.048966877609708)
(-62.043612454285935, -9.679218425063754)
(-68.62323592900651, -11.328138593023988)
(-74.87334888245177, -12.960527798904359)
(-80.6947764147896, -14.54118646011882)
(-85.99423655327531, -16.035894958870525)
(-90.77967187979696, -17.427266822906752)
(-95.14421225719187, -18.712081805787598)
(-99.18364307584814, -19.88756126224314)
(-102.99374972615391, -20.950926547003466)
(-106.6703175984973, -21.89939901479868)
(-110.30913208326648, -22.730200020358847)
(-114.00071905088005, -23.446345470117027)
(-117.80231907035498, -24.087522563901892)
(-121.75819010872965, -24.707721776145128)
(-125.91256058161066, -25.360966138869337)
(-130.30965890460462, -26.10127868409712)
(-134.99371349331807, -26.98268244385108)
(-140.00892413119178, -28.059162407487516)
(-145.3815743786468, -29.360898837298148)
(-151.08945216951125, -30.853637368164428)
(-157.10222024666044, -32.49232794701678)
(-163.3895413529696, -34.23192052078563)
(-169.92107823131397, -36.02736503640137)
(-176.66649362456883, -37.83361144079443)
(-183.59509719405696, -39.60608357258968)
(-190.66362179508363, -41.317085347755224)
(-197.81309796905782, -42.95999568911449)
(-204.9835684049723, -44.52951937481305)
(-212.11507579181958, -46.020361182996425)
(-219.14766281859224, -47.427225891810124)
(-226.021372174283, -48.74481827939975)
(-232.6854221709135, -49.97019900959457)
(-239.18438456166498, -51.12491120438665)
(-245.6193715087364, -52.24501500981496)
(-252.09223715114774, -53.3667610780635)
(-258.70483562791895, -54.52640006131619)
(-265.5590210780704, -55.760182611757)
(-272.75664764062185, -57.10435938156991)
(-280.34431100892397, -58.57987742895046)
(-288.1346981367582, -60.1429037710103)
(-295.8786147559615, -61.732467680853496)
(-303.32686620537453, -63.28759832274538)
(-310.2302578238382, -64.74732486095134)
(-316.3395949501932, -66.05067645973672)
(-321.40755539488345, -67.13704742486388)
(-325.3845640268574, -67.98439374540126)
(-328.5904985560767, -68.64271659561223)
(-331.3857152431747, -69.16991067325165)
(-334.1305703487848, -69.62387067607442)
