(-2.447973, 0.125932)
(-9.183780903878342, 3.8569492984270983)
(-14.727275551526697, 6.90422633040282)
(-19.244616026691276, 9.3990184894314)
(-22.90196141311828, 11.472581169017069)
(-25.865470794553904, 13.256169762664067)
(-28.30130325474437, 14.881039663876628)
(-30.375617877435868, 16.478446266158983)
(-32.254573746374604, 18.179644963015367)
(-34.10432994530678, 20.115891147950016)
(-36.0910455579786, 22.418440214467164)
(-38.38087966813626, 25.218547556071044)
(-41.13999135952598, 28.647468566265893)
(-44.505098880342196, 32.80388677835045)
(-48.42426864766977, 37.57777082486561)
(-52.77114119151943, 42.7767482789354)
(-57.41917562638277, 48.20824600467485)
(-62.241831066751416, 53.67969086619899)
(-67.11256662711702, 58.99850972762291)
(-71.9182670240332, 63.9870088521319)
(-76.65605098362525, 68.58966524892006)
(-81.37710778380213, 72.81088153157691)
(-86.13299926236246, 76.65547321638715)
(-90.97528725710485, 80.1282558196355)
(-95.95553360582788, 83.23404485760658)
(-101.11914195111292, 85.98939426208693)
(-106.44569863748603, 88.53631530496527)
(-111.87491633796175, 91.09282427376792)
(-117.34595036881832, 93.87799985900183)
(-122.79795604633404, 97.11092075117399)
(-128.17008868678718, 101.01066564079137)
(-133.40497232307402, 105.77572645019508)
(-138.49461442068625, 111.31150535413443)
(-143.46778947801792, 117.30519287566139)
(-148.3541483869303, 123.43877815901334)
(-153.1833420392848, 129.39425034842765)
(-157.9850213269426, 134.8535985881416)
(-162.78356721220115, 139.50950547614823)
(-167.50006525509482, 143.26425500907348)
(-171.9613742294293, 146.2113310409369)
(-175.99090150467435, 148.45122082726738)
(-179.41205445029948, 150.08441162359384)
(-182.04824043577437, 151.2113906854451)
(-183.7329427409401, 151.9348609174198)
(-184.58476926263367, 152.4202228930209)
(-185.04069646980153, 152.90288505646436)
(-185.55445089270842, 153.62193911793486)
(-186.57975906161923, 154.81647678761726)
(-188.57034750679884, 156.72558977569636)
(-191.97166067653438, 159.58318019092366)
(-196.86624282999355, 163.39575474235716)
(-202.840067178078, 167.85866579033294)
(-209.44326377408208, 172.6448061611477)
(-216.22596267130027, 177.42706868109823)
(-222.73829392302696, 181.87834617648136)
(-228.53359779551988, 185.67440440480524)
(-233.40802244673904, 188.70830634915842)
(-237.5661776500509, 191.23866149592368)
(-241.2518504390393, 193.55914042398513)
(-244.70882784728803, 195.96341371222695)
(-248.1808969083808, 198.74515193953326)
(-251.91123120690057, 202.1969569320161)
(-256.046835563018, 206.44388499300902)
(-260.53479332508385, 211.26268861103227)
(-265.29727021998144, 216.38670871638658)
(-270.2564319745941, 221.54928623937272)
(-275.3344443158051, 226.48376211029148)
(-280.4535335547091, 230.92374159540392)
(-285.56401482751124, 234.725384772091)
(-290.6888520085544, 238.06182661239035)
(-295.8625982849733, 241.15676760806522)
(-301.1198068439023, 244.23390825087887)
(-306.4950308724762, 247.51694903259448)
(-312.0228179969582, 251.22956704657278)
(-317.71820937451605, 255.51336228260053)
(-323.53301376083607, 260.2438726184447)
(-329.40625008539064, 265.24282035480735)
(-335.27693727765217, 270.3319277923907)
(-341.08409426709267, 275.3329172318968)
(-346.7667399831848, 280.0675109740277)
(-352.2480286580033, 284.38184778634553)
(-357.38630075346435, 288.2218176785249)
(-362.02334734214827, 291.55878089809994)
(-366.0009594909759, 294.36409770131434)
(-369.16092826686827, 296.609128344412)
(-371.345044736746, 298.26523308363704)
(-372.47925351066294, 299.34589756111257)
(-372.9236980802867, 300.08195769032886)
(-373.1781529280752, 300.77414554302186)
(-373.74245872552706, 301.7232263236845)
(-375.1164561441409, 303.2299652368097)
(-377.7999858554155, 305.59512748689036)
(-382.1839156006259, 309.0552049680698)
(-387.9452658323186, 313.42565539438385)
(-394.47371525688317, 318.35245948049584)
(-401.1581557863223, 323.48113388197004)
(-407.38747933263863, 328.4571952543709)
