(-6.304742, 3.3077)
(-9.526622438868579, 2.030538552747377)
(-11.972483404681096, 2.814292347716884)
(-13.982134098267121, 5.174961032776636)
(-15.895383720456218, 8.628544255794745)
(-18.05204147207795, 12.69104166463933)
(-20.791916553961883, 16.8784529071785)
(-24.454818166937585, 20.706777631280374)
(-29.368900059295214, 23.701022059125954)
(-35.29129164805451, 25.827442811082815)
(-41.16084552187986, 27.68460752574667)
(-45.853293096651925, 29.91985977138831)
(-48.32271705147947, 33.14944063230297)
(-48.999605091485904, 37.40351431576822)
(-49.629812067902506, 42.19009409111516)
(-52.00520178413899, 46.99892941623257)
(-57.67194141629489, 51.34465884021769)
(-65.85482158724272, 54.977076573012496)
(-74.50114128975423, 57.775386845558096)
(-81.54492426627061, 59.62013867288931)
(-85.39651280664395, 60.52837019703349)
(-86.98754892318335, 61.239598245501405)
(-88.08078336610929, 62.731493937065466)
(-90.43911506494842, 65.98158717693005)
(-95.14982413468958, 71.43275036880267)
(-101.22378277129513, 77.88467037124818)
(-107.27427577197817, 83.82239939875723)
(-111.92279712221092, 87.74135194321873)
(-114.61298493016722, 89.17471690147332)
(-116.30054000827236, 89.5643265940937)
(-118.1036291894944, 90.55709061841941)
(-121.11301942289802, 93.75099404073585)
(-125.61796944799474, 99.31286939300121)
(-130.99763845984683, 105.78449876601266)
(-136.5819575321234, 111.61976377761877)
(-141.7371895375826, 115.38813805713612)
(-146.3085192024823, 117.18281665066206)
(-150.47928232090828, 118.17284449586066)
(-154.43991885241942, 119.54986890070047)
(-158.3543983477113, 122.32821120369084)
(-162.1997128745712, 126.26962563737263)
(-165.8723216213508, 130.5963745438156)
(-169.2683689616669, 134.52861131284794)
(-172.32925297795788, 137.4935247865229)
(-175.17980548646167, 139.75751206228992)
(-177.99132952050323, 141.79957578299033)
(-180.93516582578374, 144.09812111766658)
(-184.19359358753405, 146.9582329873754)
(-187.97493147241877, 150.27239912622508)
(-192.49128952438593, 153.8730326617788)
(-197.94717868583717, 157.59458474727805)
(-204.16377125190434, 161.37431526958676)
(-210.40643098878346, 165.2985480604729)
(-215.8969292207031, 169.4652981385603)
(-219.90145136460814, 173.9588708859759)
(-222.5393374435653, 178.60022195033324)
(-224.69886298294517, 182.97295379737662)
(-227.29581672177352, 186.65217617950177)
(-231.13987950879007, 189.28156527104136)
(-236.0229365922222, 191.1624919983597)
(-241.16998286982107, 192.96264917828495)
(-245.7998868228924, 195.35368848927027)
(-249.2977511042177, 198.86858307185295)
(-251.94055008575802, 203.29627453005565)
(-254.3030895073373, 208.17724280521148)
(-256.9602916755652, 213.05183176821302)
(-260.29034450970687, 217.5414176552379)
(-264.05888107439375, 221.51968017318785)
(-267.91265573500755, 224.90926363709576)
(-271.50167738302815, 227.6353613524408)
(-274.81541487951694, 229.88903642982646)
(-278.47524406929466, 232.35627038462755)
(-283.17146286066287, 235.77702545816067)
(-289.56523151019627, 240.86096913974953)
(-297.44540344321206, 247.41082146245517)
(-305.59881653390136, 254.18749535355352)
(-312.7570728796987, 259.89447446723744)
(-317.74676787425705, 263.3303877537615)
(-320.66789877983933, 264.5693036166522)
(-322.5301630569014, 264.59644627915577)
(-324.36292189048527, 264.41673515325107)
(-327.07078052027623, 264.9356994703531)
(-330.6646027691064, 266.3468453150421)
(-334.7654805322559, 268.53315647857164)
(-338.9928872026002, 271.3763273287062)
(-343.0409909951774, 274.735612457231)
(-346.9107782112563, 278.37809234101616)
(-350.6820031507695, 282.04718401958496)
(-354.4341620365855, 285.48667512510656)
(-358.16680269926525, 288.55513861789484)
(-361.6867502430077, 291.38784772387197)
(-364.7723740330733, 294.160930791087)
(-367.21121225774203, 297.05157954796516)
(-369.2672347763786, 300.2922412435523)
(-371.90336056896905, 304.1964257427777)
(-376.1382403033814, 309.0841065518769)
(-382.91849357481925, 315.2417705863305)
(-391.7800253741482, 322.30007636866935)
(-400.9725051572518, 329.29172321601976)
(-408.6985337380125, 335.22752866180303)
(-413.36528000974687, 339.21857622178186)
(-415.37216909606553, 341.35242398467676)
(-416.24168251603714, 342.26707932253197)
(-417.5089152055104, 342.60673188484)
(-420.4209905000246, 343.00164097456246)
(-424.65901845538497, 344.00631152292783)
(-429.3743379311797, 346.1496212939808)
(-433.71799420251364, 349.9602744404037)
(-437.1525199530462, 355.58561149357973)
(-440.12302854062636, 361.96996922346347)
(-443.26790089868604, 367.82106095880533)
(-447.2216710819596, 371.85419447699746)
(-452.2006628927953, 373.61030179084815)
(-457.6332285278687, 374.18591631402035)
(-462.8604829531822, 374.8497938565992)
(-467.23553748002155, 376.8438063273891)
(-470.4791431293073, 380.58594224175886)
(-472.73927321561115, 385.5367816964022)
(-474.1878982546967, 391.10312687710433)
(-474.99164306647486, 396.7148564350435)
(-475.24425142015406, 402.11646419794084)
(-474.98678908908096, 407.2798459973051)
(-474.2591507204347, 412.1819532183487)
(-473.0570077209682, 416.7981576127336)
(-471.05470935769256, 421.0923534549437)
(-467.78471753875243, 425.0233668690883)
(-462.77886929545406, 428.55000165896666)
